County,2021,2022,2023
Autauga,"49,174","49,811","53,079"
Baldwin,"56,285","57,621","60,969"
Barbour,"40,954","41,031","41,531"
Bibb,"37,362","38,196","39,835"
Blount,"42,975","44,063","45,021"
Bullock,"34,068","33,429","36,061"
Butler,"45,438","47,502","49,192"
Calhoun,"43,215","42,668","44,737"
Chambers,"39,269","39,447","40,735"
Cherokee,"44,590","44,563","45,099"
Chilton,"42,839","43,454","46,120"
Choctaw,"43,626","47,125","49,356"
Clarke,"45,076","44,788","47,362"
Clay,"39,465","39,456","39,082"
Cleburne,"42,929","44,251","44,266"
Coffee,"50,369","51,776","53,573"
Colbert,"44,126","44,800","47,137"
Conecuh,"41,418","41,390","42,999"
Coosa,"39,176","38,739","40,420"
Covington,"41,775","42,259","43,081"
Crenshaw,"45,819","48,617","47,732"
Cullman,"46,886","49,758","50,812"
Dale,"44,186","44,871","45,756"
Dallas,"42,508","42,394","45,618"
DeKalb,"40,075","42,093","41,750"
Elmore,"48,569","48,671","51,950"
Escambia,"40,120","40,411","42,089"
Etowah,"42,777","43,196","45,062"
Fayette,"42,191","42,765","42,346"
Franklin,"40,296","42,616","42,272"
Geneva,"42,146","42,484","43,566"
Greene,"40,198","38,247","39,811"
Hale,"44,809","44,433","46,181"
Henry,"53,672","53,003","53,701"
Houston,"51,535","51,977","54,541"
Jackson,"43,162","44,123","45,322"
Jefferson,"64,992","67,431","71,275"
Lamar,"39,831","39,774","41,514"
Lauderdale,"44,823","44,959","47,168"
Lawrence,"42,235","43,891","44,413"
Lee,"45,218","46,140","48,511"
Limestone,"53,156","53,965","57,194"
Lowndes,"48,439","50,657","52,211"
Macon,"38,030","38,926","41,172"
Madison,"60,517","62,533","66,005"
Marengo,"47,419","47,701","50,216"
Marion,"41,506","43,428","45,211"
Marshall,"45,985","47,142","48,602"
Mobile,"47,670","48,419","50,513"
Monroe,"42,511","42,390","43,607"
Montgomery,"49,587","50,777","53,891"
Morgan,"46,508","47,549","49,630"
Perry,"40,333","40,149","43,279"
Pickens,"43,902","41,570","42,292"
Pike,"45,632","48,000","49,237"
Randolph,"42,014","42,457","42,104"
Russell,"39,914","39,111","41,186"
St. Clair,"47,303","48,215","50,493"
Shelby,"65,158","67,354","71,565"
Sumter,"39,173","38,777","41,168"
Talladega,"41,267","41,455","43,284"
Tallapoosa,"48,690","49,046","51,662"
Tuscaloosa,"41,246","42,186","44,456"
Walker,"46,956","49,274","51,485"
Washington,"44,306","45,502","46,859"
Wilcox,"39,574","38,804","41,486"
Winston,"42,783","43,713","44,873"


Aleutians East Borough,"59,263","63,498","65,421"
Aleutians West Census Area,"63,931","68,799","72,234"
Anchorage Municipality,"71,884","76,211","79,183"
Bethel Census Area,"46,898","49,351","48,831"
Bristol Bay Borough,"161,764","158,309","169,751"
Chugach Census Area,"68,663","70,051","75,423"
Copper River Census Area,"58,782","57,322","58,759"
Denali Borough,"109,241","120,328","127,445"
Dillingham Census Area,"58,646","60,654","65,625"
Fairbanks North Star Borough,"65,085","67,899","69,775"
Haines Borough,"85,606","84,928","91,194"
Hoonah-Angoon Census Area,"60,801","68,190","73,176"
Juneau City and Borough,"74,274","78,743","82,234"
